data,label
3619,0
3622,0
3625,0
3655,0
3659,0
3667,0
3687,0
3693,0
3710,0
3712,0
3746,0
3767,0
3801,0
3812,0
3827,0
3861,0
3893,0
3934,0
4003,0
4070,0
4109,0
4752,0
6575,0
6586,0
6644,0
6657,0
6691,0
6707,0
6748,0
6769,0
6787,0
6795,0
6812,0
6846,0
6848,0
6906,0
6909,0
6940,0
6967,0
6997,0
7007,0
7074,0
7116,0
7164,0
7210,0
7231,0
7251,0
7285,0
7360,0
7431,0
7499,0
7536,0
7651,0
7660,0
8009,0
8057,0
8060,0
8074,0
8158,0
8212,0
8245,0
8263,0
8265,0
8389,0
8482,0
8507,0
8589,0
8622,0
8698,0
8810,0
8888,0
41463,0
41480,0
41482,0
60332,0
60593,0
60974,0
61015,0
61046,0
62209,0
62264,0
62587,0
62758,0
62801,0
63345,0
63353,0
63383,0
63389,0
63411,0
63536,0
63624,0
63654,0
63867,0
63966,0
64020,0
64573,0
64634,0
64668,0
64872,0
64900,0
65006,0
65023,0
65048,0
65159,0
65312,0
65392,0
65460,0
65491,0
65531,0
65562,0
65585,0
65627,0
65669,0
65692,0
65705,0
65746,0
65765,0
65984,0
66026,0
66073,0
71054,0
76650,0
85137,0
85826,0
97295,0
107264,0
107294,0
107333,0
107343,0
107420,0
107696,0
108441,0
108448,0
108499,0
108562,0
108610,0
108629,0
108663,0
108666,0
108731,0
108815,0
108833,0
108894,0
108956,0
108999,0
109060,0
109128,0
109149,0
109219,0
109239,0
109287,0
109454,0
109498,0
109523,0
109533,0
109539,0
109562,0
109572,0
109593,0
109639,0
109666,0
109680,0
109720,0
109728,0
109749,0
109762,0
109794,0
109870,0
109884,0
109914,0
109985,0
110541,0
110808,0
110914,0
110990,0
111028,0
111464,0
111467,0
111488,0
111543,0
111640,0
111643,0
111830,0
111868,0
111898,0
111953,0
112001,0
112086,0
112103,0
112134,0
112224,0
112357,0
112394,0
112444,0
112471,0
112495,0
112515,0
112636,0
112845,0
112883,0
119266,0
119547,0
119579,0
119666,0
119702,0
119724,0
120496,0
120509,0
120567,0
120652,0
125469,0
125834,0
125896,0
125901,0
126004,0
126026,0
126367,0
126540,0
126576,0
126639,0
126662,0
126680,0
126746,0
126749,0
126840,0
126876,0
126906,0
126966,0
126991,0
127045,0
127049,0
127055,0
127080,0
127148,0
127218,0
127273,0
127318,0
127325,0
127348,0
127392,0
127524,0
127624,0
127632,0
127640,0
127658,0
127797,0
127827,0
127889,0
127973,0
127989,0
128039,0
128048,0
128095,0
128193,0
128573,0
128634,0
128697,0
128736,0
128751,0
128812,0
128817,0
128966,0
128976,0
128987,0
129212,0
129523,0
129564,0
129659,0
129762,0
129776,0
129789,0
129824,0
129904,0
129980,0
137271,0
137285,0
138722,0
138945,0
142470,0
142490,0
142660,0
142675,0
142718,0
142720,0
142737,0
142763,0
142799,0
142810,0
142939,0
142988,0
143078,0
143081,0
143151,0
143230,0
143304,0
143331,0
143336,0
143395,0
143397,0
143437,0
143442,0
143466,0
143475,0
143520,0
143545,0
143574,0
143605,0
143643,0
143717,0
143774,0
143802,0
143831,0
143846,0
143874,0
144069,0
144089,0
144104,0
144129,0
144153,0
144385,0
144413,0
144468,0
144501,0
144515,0
144517,0
144532,0
144597,0
144616,0
144638,0
144656,0
144818,0
144852,0
144874,0
144947,0
144997,0
145040,0
145157,0
145167,0
145190,0
145217,0
145272,0
145296,0
145640,0
145965,0
146481,0
147565,0
147622,0
147652,0
147668,0
147674,0
147713,0
147803,0
147822,0
147852,0
147939,0
147979,0
148007,0
148046,0
148137,0
148321,0
148335,0
148379,0
148394,0
148427,0
148447,0
148468,0
148509,0
148535,0
148580,0
148637,0
148660,0
148697,0
148771,0
148872,0
148928,0
149010,0
149065,0
149114,0
149181,0
149204,0
149219,0
149266,0
149400,0
149433,0
149463,0
149531,0
149675,0
149720,0
149743,0
149778,0
149797,0
149857,0
149918,0
149990,0
150016,0
150178,0
150197,0
150224,0
150354,0
150390,0
150443,0
150450,0
150486,0
150511,0
150516,0
150531,0
150547,0
150594,0
150676,0
150747,0
150780,0
150785,0
150797,0
150845,0
150890,0
150893,0
151087,0
151211,0
151216,0
151251,0
151336,0
151371,0
151397,0
151412,0
151438,0
151469,0
151498,0
151537,0
151570,0
151612,0
151630,0
151660,0
151991,0
152115,0
152152,0
152445,0
152576,0
152704,0
152903,0
153145,0
153153,0
153251,0
153750,0
154161,0
154425,0
154441,0
154462,0
154480,0
154525,0
154583,0
154596,0
154646,0
154679,0
154847,0
154955,0
155511,0
155624,0
155840,0
155845,0
155875,0
155878,0
155889,0
155918,0
155944,0
156053,0
156125,0
156172,0
156245,0
156266,0
156371,0
156384,0
156409,0
156439,0
156469,0
156600,0
156638,0
156847,0
156856,0
156959,0
157172,0
157379,0
157393,0
157491,0
157517,0
157597,0
157923,0
157987,0
158172,0
158734,0
158761,0
159104,0
159183,0
159264,0
159279,0
159292,0
159320,0
159357,0
159402,0
159429,0
159512,0
159532,0
159546,0
159592,0
159665,0
159708,0
159751,0
159799,0
159866,0
160003,0
160035,0
160058,0
160090,0
160127,0
160394,0
161004,0
164264,0
164356,0
165923,0
165949,0
165966,0
165982,0
166047,0
166092,0
166133,0
166162,0
166229,0
166257,0
166270,0
166305,0
166593,0
166658,0
166691,0
166817,0
166839,0
166871,0
166891,0
166898,0
166911,0
166936,0
166960,0
167014,0
167034,0
167144,0
167181,0
167200,0
167312,0
167321,0
167378,0
167431,0
167463,0
167480,0
167548,0
167581,0
167726,0
167875,0
167906,0
167987,0
168523,0
168540,0
168559,0
168577,0
168607,0
168640,0
168662,0
168671,0
168727,0
168777,0
168822,0
168862,0
168892,0
169099,0
169267,0
170482,0
170552,0
170576,0
170597,0
170614,0
170617,0
170738,0
170772,0
170832,0
170875,0
171144,0
171303,0
171305,0
171328,0
171368,0
171524,0
171533,0
171558,0
171675,0
171711,0
171748,0
171808,0
171872,0
171917,0
171952,0
171998,0
172035,0
172083,0
172107,0
172171,0
172219,0
172299,0
172368,0
172381,0
172413,0
172439,0
172467,0
172518,0
172527,0
172544,0
172572,0
172596,0
173012,0
173043,0
173068,0
173272,0
173300,0
173406,0
173648,0
173658,0
173686,0
174378,0
174381,0
174399,0
174421,0
174471,0
174482,0
174508,0
174530,0
174544,0
174760,0
175093,0
175165,0
175190,0
175261,0
175743,0
175792,0
175903,0
175960,0
176084,0
176248,0
176253,0
176553,0
176617,0
176687,0
176777,0
176959,0
177002,0
177015,0
177127,0
177186,0
177234,0
177268,0
177386,0
177414,0
177467,0
177639,0
177813,0
177873,0
177985,0
178084,0
178104,0
178162,0
178216,0
178431,0
178489,0
178497,0
178499,0
178517,0
178552,0
178605,0
178684,0
178723,0
178788,0
178806,0
178961,0
178976,0
178996,0
179033,0
179089,0
180411,0
180459,0
180507,0
180587,0
180599,0
180678,0
180715,0
180779,0
180882,0
181010,0
181021,0
181036,0
181079,0
181141,0
181184,0
181191,0
181232,0
181277,0
181303,0
181856,0
181859,0
181870,0
181895,0
181927,0
182191,0
182269,0
182323,0
182373,0
182494,0
182539,0
182669,0
182696,0
182731,0
182982,0
182985,0
183027,0
183065,0
183126,0
183168,0
183170,0
183309,0
183311,0
183365,0
183678,0
183771,0
183813,0
184017,0
184142,0
184152,0
184184,0
184369,0
184390,0
184552,0
184563,0
184642,0
184672,0
184704,0
184755,0
184782,0
184865,0
184871,0
184883,0
184897,0
184938,0
184963,0
185030,0
185065,0
185091,0
185143,0
185152,0
185219,0
185257,0
185288,0
185301,0
185343,0
185361,0
185377,0
185401,0
185444,0
185464,0
185538,0
185564,0
185599,0
185633,0
185661,0
185678,0
185699,0
185753,0
185759,0
185828,0
185852,0
185889,0
185938,0
185971,0
186019,0
186094,0
186113,0
186143,0
186181,0
186234,0
186275,0
186352,0
186432,0
186586,0
186659,0
186677,0
186703,0
186731,0
186749,0
186778,0
186827,0
186863,0
186906,0
186976,0
187040,0
187176,0
187235,0
187308,0
187529,0
187807,0
187861,0
187894,0
187929,0
187974,0
188012,0
188083,0
188173,0
188277,0
188789,0
188847,0
188888,0
188942,0
189138,0
189238,0
189533,0
190275,0
190359,0
190372,0
190419,0
190472,0
190544,0
190619,0
190622,0
190646,0
190798,0
190907,0
190972,0
190975,0
190990,0
191014,0
191064,0
191117,0
191155,0
191196,0
191236,0
191252,0
191289,0
191311,0
191366,0
191456,0
191472,0
191520,0
191583,0
191736,0
191754,0
191756,0
191786,0
191829,0
191876,0
191973,0
191992,0
192025,0
192051,0
192079,0
192103,0
192178,0
192230,0
192464,0
192472,0
192518,0
192625,0
192648,0
192709,0
192938,0
192957,0
192974,0
193001,0
193026,0
193068,0
193163,0
193192,0
193235,0
193271,0
193284,0
193311,0
193327,0
193388,0
193456,0
193459,0
193495,0
193508,0
193518,0
193529,0
193592,0
193628,0
193645,0
193895,0
193898,0
193945,0
194610,0
194666,0
194736,0
194773,0
194796,0
194809,0
194863,0
194885,0
194950,0
194996,0
195051,0
195321,0
195357,0
195473,0
195623,0
195766,0
195837,0
195974,0
196018,0
196047,0
196075,0
196201,0
196405,0
196495,0
196599,0
196789,0
196892,0
196895,0
197069,0
197072,0
197364,0
197380,0
197608,0
197611,0
197761,0
198025,0
198044,0
198269,0
198320,0
198421,0
198545,0
198735,0
198765,0
198807,0
198890,0
198963,0
198999,0
199119,0
199151,0
199172,0
199666,0
200912,0
206229,0
206984,0
207772,0
207857,0
207938,0
208805,0
209269,0
209323,0
209460,0
209516,0
209552,0
210169,0
210234,0
210375,0
212356,0
213871,0
213899,0
214060,0
214088,0
214144,0
214297,0
214396,0
214482,0
214491,0
215144,0
215218,0
215255,0
215296,0
215617,0
215861,0
219369,0
219395,0
219502,0
219713,0
219775,0
219901,0
219929,0
219997,0
220022,0
220052,0
220090,0
220206,0
220225,0
220267,0
220388,0
220418,0
220561,0
220564,0
220603,0
220633,0
220663,0
220872,0
220897,0
220966,0
221009,0
221031,0
221235,0
221424,0
221494,0
221518,0
221532,0
221570,0
221576,0
221599,0
221728,0
221855,0
221894,0
221996,0
222040,0
222070,0
222076,0
222129,0
222178,0
222211,0
222231,0
222273,0
222309,0
222320,0
222369,0
222384,0
222404,0
222425,0
222508,0
222588,0
222605,0
222654,0
222751,0
222829,0
223046,0
223177,0
223200,0
223260,0
223353,0
223371,0
223434,0
223467,0
223469,0
223562,0
223569,0
223584,0
223589,0
223617,0
223637,0
223661,0
223718,0
223916,0
224183,0
224201,0
224230,0
224257,0
224299,0
224407,0
224424,0
224542,0
224571,0
224625,0
224735,0
224771,0
224834,0
224897,0
224900,0
224909,0
224922,0
224981,0
224996,0
225099,0
225141,0
225158,0
226119,0
226123,0
226147,0
226191,0
226347,0
226405,0
226435,0
226460,0
226484,0
226556,0
226597,0
226693,0
226715,0
226752,0
226847,0
226910,0
227129,0
227301,0
227360,0
227421,0
227426,0
227543,0
227560,0
227652,0
227664,0
227685,0
227753,0
227862,0
227878,0
228023,0
228767,0
229273,0
229298,0
229321,0
229324,0
229357,0
229515,0
229612,0
229634,0
229748,0
229853,0
230735,0
230804,0
230949,0
231145,0
231153,0
231167,0
231194,0
231226,0
231314,0
231338,0
231871,0
231875,0
231901,0
231916,0
231918,0
232033,0
232037,0
232067,0
232071,0
232075,0
232096,0
232298,0
232528,0
232558,0
232727,0
232735,0
232737,0
232760,0
232766,0
232811,0
232843,0
232910,0
232951,0
232954,0
233003,0
233156,0
233158,0
233192,0
233215,0
233237,0
233262,0
233308,0
233372,0
233388,0
233404,0
233466,0
233468,0
233493,0
233596,0
233632,0
233667,0
233724,0
233727,0
233995,0
234022,0
234041,0
234086,0
234115,0
234136,0
234151,0
234215,0
234238,0
234338,0
234343,0
234382,0
234408,0
234435,0
234490,0
234651,0
234653,0
234725,0
234799,0
234819,0
234821,0
234843,0
234873,0
234904,0
235006,0
235109,0
235125,0
235130,0
235146,0
235155,0
235205,0
235209,0
235226,0
235280,0
235323,0
235632,0
235662,0
235666,0
235681,0
235695,0
235726,0
235761,0
235771,0
235792,0
235952,0
235995,0
236099,0
236117,0
236203,0
236303,0
236318,0
236392,0
236402,0
236426,0
236453,0
236472,0
236481,0
236657,0
236728,0
236741,0
236766,0
236784,0
236806,0
236878,0
236931,0
236975,0
236991,0
236995,0
237065,0
237082,0
237097,0
237159,0
237244,0
237344,0
237376,0
237395,0
237415,0
237462,0
237464,0
237494,0
237513,0
237568,0
237656,0
237690,0
237902,0
237976,0
237978,0
238023,0
238042,0
238071,0
238126,0
238280,0
238318,0
238356,0
238415,0
238431,0
